Date,ANET,CRWD,LWMHF,LLY,CEG,NVDA.NE,LRLCF,MRU.TO,SSB,COP,TMUS,BIIB,TSM,DOL.TO,NKE
7/10/2023,159.550003,149.949997,915.909973,453.160004,93.599998,40.290001,447.570007,73.129997,68.550003,104.349998,138.339996,281.579987,99.769997,87.239998,105.779999
7/11/2023,160.169998,150.789993,936.73999,439.390015,94.360001,40.48,451.75,72.349998,69.589996,107.440002,140.020004,279.839996,101.260002,85.589996,107.389999
7/12/2023,164.039993,146.130005,967.700012,440.600006,96.059998,41.959999,455.350006,72.199997,70.760002,109.309998,140.889999,277.619995,103.900002,85.980003,107.760002
7/13/2023,168.610001,150.75,986.309998,434.700012,95.269997,43.939999,471.100006,72.510002,71.589996,110.550003,140.690002,277.970001,105.57,86.599998,107.839996
7/14/2023,165.580002,149.399994,999,449.459991,95,43.400002,470.25,74.139999,70.379997,107.089996,139.679993,278.929993,105.139999,88.43,107.949997
7/17/2023,170.419998,152.729996,968.700012,447.140015,96.18,44.369999,461.549988,74.129997,71.849998,106.440002,138,278.399994,104.790001,87.949997,108.709999
7/18/2023,173.509995,152.949997,968.090027,451.200012,95.370003,45.369999,461.670013,73.110001,74.809998,108.75,138.449997,276.170013,103.150002,88.099998,109.720001
7/19/2023,176.259995,157.610001,953.849976,453.559998,94.730003,44.970001,450.350006,72.910004,75.900002,109.480003,137.580002,276.890015,103.059998,88.059998,109.879997
7/21/2023,171.639999,150.899994,967.47998,462.040009,96.599998,42.400002,455.25,74.290001,75.129997,112.889999,140.899994,276.73999,97.25,88.459999,109.059998
7/24/2023,171.720001,149.740005,953.75,459.320007,96.550003,42.580002,456.649994,74.07,75.940002,114.720001,141.369995,277,98.25,89.150002,108.769997
7/25/2023,174.089996,150.940002,913,457.540009,97.519997,43.630001,446.040009,73.470001,75,116.18,142.470001,270.309998,100.32,89.610001,108.300003
7/26/2023,164.449997,154.630005,901.52002,453.589996,97.339996,43.419998,451.390015,72.349998,78.120003,116.830002,141.089996,265.25,99.410004,89.379997,109.300003
7/27/2023,160.990005,152.850006,922.159973,454.98999,95.419998,43.880001,456.950012,72.050003,76.330002,115.779999,139.880005,262.790009,99.349998,87.519997,107.669998
7/28/2023,151.089996,155.600006,928.460022,458.480011,95.739998,44.66,458.200012,71.510002,77.589996,115.93,140.869995,265.230011,100.860001,87.150002,108.620003
7/31/2023,155.089996,161.660004,933.599976,454.549988,96.650002,44.52,466.149994,70.970001,77.669998,117.720001,137.770004,270.190002,99.150002,86.860001,110.389999
8/1/2023,185.610001,165.960007,914.609985,453.089996,96.300003,44.43,451.149994,70.559998,77.239998,117.379997,137.259995,269.299988,98.400002,85.849998,109.400002
8/2/2023,177.279999,154.729996,890,454.480011,95.550003,42.349998,458,70.099998,77.129997,115.589996,135.779999,271.559998,95.699997,85.449997,107.510002
8/3/2023,177.759995,157.550003,891.75,449.160004,101.139999,42.549999,446.589996,69.269997,78.18,114.989998,135.369995,267.75,94.980003,84.809998,108.639999
8/4/2023,179.600006,150.490005,889.75,449.48999,103.940002,42.66,455.149994,69.900002,78.349998,113.709999,134.600006,268.920013,96.160004,85.540001,108.809998
8/7/2023,179.270004,150.970001,904.130005,454.079987,103.75,42.650002,455.600006,69.699997,78.730003,114.480003,136.649994,271.230011,96.349998,85.540001,110.480003
8/8/2023,180.449997,145.880005,890.200012,521.599976,104.809998,40.650002,442.470001,70.559998,77.629997,115.589996,136.259995,274.140015,94.489998,85.540001,109.690002
8/9/2023,177.460007,145.460007,888.25,526.22998,105.110001,40.459999,453.75,71.330002,76.910004,116.440002,137.710007,271.290009,93.980003,85.519997,109.690002
8/10/2023,176.300003,147.860001,909.75,521.340027,105.720001,38.98,458.049988,71.089996,75.709999,115.830002,137.729996,269.059998,94.800003,85.599998,109.029999
8/11/2023,174.940002,148.220001,897.130005,528.280029,106.559998,41.759998,457.200012,71.410004,75.529999,117.809998,138.339996,273.679993,91.989998,85.830002,108.089996
8/14/2023,178.119995,152.369995,888.090027,538,107,41.950001,459.75,70.889999,75.139999,117.690002,139.5,272.73999,93.07,85.449997,107.639999
8/15/2023,179.649994,149.630005,877.609985,546.619995,106.239998,41.52,443.459991,71.099998,73.379997,115.510002,138.580002,270.220001,91.68,86.760002,106.550003
