Date,AAPL,AMZN,GOOGLE,MSFT,NFLX,SNAP,BYND,ROKU,SQ,UBER,PINS,ZM,META,TSLA
2022-04-27,156.570007,138.167007,114.294502,283.220001,188.539993,27.09,38.220001,84.760002,99.93,30.68,18.67,97.620003,174.949997,293.83667
2022-04-28,163.639999,144.596497,118.522499,289.630005,199.520004,28.809999,39.82,91.629997,104.639999,32.82,21.200001,102.559998,205.729996,292.503326
2022-04-29,157.649994,124.281502,114.109497,277.519989,190.360001,28.459999,36.880001,92.900002,99.540001,31.48,20.52,99.57,200.470001,290.253326
2022-05-02,157.960007,124.5,116.583,284.470001,199.460007,29.52,38.330002,103.129997,105.860001,30.389999,22.16,104.790001,211.130005,300.980011
2022-05-03,159.479996,124.253502,117.334,281.779999,199.869995,28.93,38.900002,103.949997,102.330002,29.469999,22.389999,103.529999,212.029999,303.083344
2022-05-04,166.020004,125.928497,122.261002,289.980011,204.009995,30.16,41.759998,110.010002,106.790001,28.1,24.200001,108.980003,223.410004,317.540009
2022-05-05,156.770004,116.406998,116.505501,277.350006,188.320007,27.27,38.43,102.449997,95.550003,26.83,22.629999,100.839996,208.279999,291.093323
2022-05-06,157.279999,114.772499,115.746498,274.730011,180.970001,24.92,35.830002,96.830002,96.190002,26.07,22.690001,96.379997,203.770004,288.549988
2022-05-09,152.059998,108.789001,112.511002,264.579987,173.100006,23.389999,31.155001,87.769997,83.860001,23.049999,21.08,92.339996,196.210007,262.369995
2022-05-10,154.509995,108.859001,114.394997,269.5,177.660004,22.889999,30.370001,83.870003,84.389999,23.67,20.219999,90.68,197.649994,266.679993
2022-05-11,146.5,105.372002,113.602501,260.549988,166.369995,21.84,26.17,78.720001,71.220001,22.57,18.889999,84.800003,188.740005,244.666672
2022-05-12,142.559998,106.930496,112.844002,255.350006,174.309998,22.77,25.08,87.5,75.760002,23.290001,20.16,84.970001,191.240005,242.666672
2022-05-13,147.110001,113.055,116.050499,261.119995,187.639999,24.75,31.24,97.839996,84.150002,24.389999,21.469999,94.839996,198.619995,256.529999
2022-05-16,145.539993,110.810501,114.445,261.5,186.509995,23.42,27.24,93.260002,79.699997,23.59,21.49,88.919998,200.039993,241.456665
2022-05-17,149.240005,115.3685,116.473,266.820007,190.559998,24.540001,26.959999,97.660004,84.790001,24.200001,22.48,90.940002,202.619995,253.869995
2022-05-18,140.820007,107.112503,111.899498,254.080002,177.190002,22.73,26.42,94.839996,82.059998,22.459999,22.09,84.690002,192.240005,236.603333
2022-05-19,137.350006,107.319,110.384003,253.139999,183.479996,23.200001,25.5,96.870003,87.139999,23.24,23.139999,90.940002,191.289993,236.473328
2022-05-20,137.589996,107.591003,108.907997,252.559998,186.350006,23.26,24.370001,94.199997,83.440002,23.35,22.91,89.739998,193.539993,221.300003
2022-05-23,143.110001,107.556999,111.487999,260.649994,187.440002,22.469999,24.67,91.769997,83.400002,23.780001,22.59,89.330002,196.229996,224.96666
2022-05-24,140.360001,104.099998,105.970001,259.619995,180.339996,12.79,22.940001,79.160004,75.879997,21.549999,17.25,94.339996,181.279999,209.386673
2022-05-25,140.520004,106.775002,105.805,262.519989,187.830002,14.16,25.98,84.790001,77.949997,22.040001,18.9,102.339996,183.830002,219.600006
2022-05-26,143.779999,111.077499,107.792503,265.899994,191.399994,14.81,26.17,88.540001,83.410004,23.1,19.540001,107,191.630005,235.910004
2022-05-27,149.639999,115.1465,112.316498,273.23999,195.190002,15.58,28.629999,96.470001,90.519997,23.67,20.450001,110.419998,195.130005,253.210007
2022-05-31,148.839996,120.209503,113.762001,271.869995,197.440002,14.11,26.450001,94.900002,87.510002,23.200001,19.65,107.449997,193.639999,252.753326
2022-06-01,148.710007,121.683998,113.891998,272.420013,192.910004,13.93,25.24,90.769997,81.910004,22.940001,18.93,107.650002,188.639999,246.789993
2022-06-02,151.210007,125.511002,117.622498,274.579987,205.089996,14.9,27.41,95.849998,87.440002,24.74,20.040001,112.239998,198.860001,258.333344
2022-06-03,145.380005,122.349998,114.541,270.019989,198.979996,14.49,25.07,87.279999,83.099998,24.15,19.459999,109.419998,190.779999,234.516663
2022-06-06,146.139999,124.790001,116.820503,268.75,197.139999,15.15,25.02,89.529999,83.379997,24.73,19.940001,111.010002,194.25,238.279999
2022-06-07,148.710007,123,117.149498,272.5,198.610001,15.28,24.790001,93.419998,84.599998,25.299999,19.969999,115.040001,195.649994,238.886673
2022-06-08,147.960007,121.18,117.194,270.410004,202.830002,15.17,25.049999,101.879997,84.75,25.83,20.790001,115.459999,196.639999,241.866669
2022-06-09,142.639999,116.150002,114.835503,264.790009,192.770004,14.1,22.860001,92.370003,76.580002,25.440001,20.25,110.400002,184,239.706665
2022-06-10,137.130005,109.650002,111.161499,252.990005,182.940002,13.28,22.860001,82.709999,71.870003,23.719999,19.24,109.07,175.570007,232.229996
2022-06-13,131.880005,103.669998,106.392502,242.259995,169.690002,12.02,22.27,73.25,62.759998,21.57,17.219999,103.32,164.259995,215.736664
2022-06-14,132.759995,102.309998,106.7155,244.490005,167.539993,11.91,22.43,74.290001,60.299999,21.09,17.190001,106.860001,163.729996,220.889999
2022-06-15,135.429993,107.669998,109.764503,251.759995,180.110001,13.2,25.559999,83,62.91,22.030001,19.07,112.93,169.350006,233
2022-06-16,130.059998,103.660004,106.033501,244.970001,173.350006,12.22,23.91,78.580002,57.509998,20.469999,17.450001,106.089996,160.869995,213.100006
2022-06-17,131.559998,106.220001,107.143501,247.649994,175.509995,12.42,23.719999,82.419998,58.509998,21.809999,18.18,110,163.740005,216.759995
2022-06-21,135.869995,108.68,111.543999,253.740005,170.910004,12.85,25.42,89.080002,60.52,21.76,18.42,113.82,157.050003,237.036667
2022-06-22,135.350006,108.949997,111.487503,253.130005,178.889999,13.08,25.389999,91.190002,60.650002,21.5,18.889999,115.169998,155.850006,236.08667
2022-06-23,138.270004,112.440002,112.241997,258.859985,181.710007,13.94,26.059999,96.029999,67.269997,22.370001,19.9,117.669998,158.75,235.070007
2022-06-24,141.660004,116.459999,117.974998,267.700012,190.850006,14.7,25.42,98.769997,71,23.030001,21.469999,122.639999,170.160004,245.706665
2022-06-27,141.660004,113.220001,115.833504,264.890015,189.139999,14.56,25.18,94.75,69.43,22.860001,20.73,119.82,169.490005,244.919998
2022-06-28,137.440002,107.400002,112.0075,256.480011,179.600006,13.73,23.780001,89.089996,65.599998,22.08,19.700001,113.129997,160.679993,232.66333
2022-06-29,139.229996,108.919998,111.7015,260.26001,178.360001,13.96,24.360001,87.110001,63.84,21.469999,19.959999,111.870003,163.940002,228.490005
2022-06-30,136.720001,106.209999,108.962997,256.829987,174.869995,13.13,23.940001,82.139999,61.459999,20.459999,18.16,107.970001,161.25,224.473328
2022-07-01,138.929993,109.559998,108.737503,259.579987,179.949997,13.17,25.66,83.910004,63.900002,21.34,18.709999,110.970001,160.029999,227.263336
2022-07-05,141.559998,113.5,113.263,262.850006,185.880005,14.38,27.379999,92.059998,66.730003,22.52,20.23,120.419998,168.190002,233.066666
2022-07-06,142.919998,114.330002,114.571999,266.209991,184.059998,14.28,29.030001,88.529999,64.970001,21.5,19.73,117.059998,169.770004,231.733337
2022-07-07,146.350006,116.330002,118.782997,268.399994,189.270004,15.1,31.76,93.489998,68.629997,22.74,20.27,120.739998,172.190002,244.543335
2022-07-08,147.039993,115.540001,119.3535,267.660004,186.979996,14.96,31.950001,94.410004,67.019997,22.34,20.24,119.800003,170.880005,250.763336
2022-07-11,144.869995,111.75,115.676498,264.51001,177.339996,14.06,29.98,85.860001,63.23,21.190001,18.51,108.379997,162.880005,234.343338
2022-07-12,145.860001,109.220001,114.0205,253.669998,174.449997,14.04,30.67,87.559998,65.029999,21.57,18.5,107.989998,163.270004,233.070007
2022-07-13,145.490005,110.400002,111.3535,252.720001,176.559998,13.83,30.620001,87.019997,64.150002,21.5,18.41,101.010002,163.490005,237.039993
2022-07-14,148.470001,110.629997,110.3675,254.080002,174.779999,13.17,29.92,82.339996,62.419998,20.65,17.559999,97.349998,158.050003,238.313339
2022-07-15,150.169998,113.550003,111.777496,256.720001,189.110001,13.65,34.009998,85.769997,65.980003,21.67,20.4,99.849998,164.699997,240.066666
2022-07-18,147.070007,113.760002,109.029999,254.25,190.919998,13.92,34.68,88.220001,66.269997,22.58,20.25,98.919998,167.229996,240.546661
2022-07-19,151,118.209999,113.809998,259.529999,201.630005,14.15,37.560001,89.870003,69.25,22.67,20.639999,102.080002,175.779999,245.529999
2022-07-20,153.039993,122.769997,113.900002,262.269989,216.440002,15.51,37.169998,96.080002,74.779999,24.120001,21.27,107.089996,183.089996,247.5
2022-07-21,155.350006,124.629997,114.339996,264.839996,223.880005,16.35,37.990002,97.529999,74.760002,24.23,20.940001,110.849998,183.169998,271.706665
2022-07-22,154.089996,122.419998,107.900002,260.359985,220.440002,9.96,36.290001,88.839996,71.800003,23.299999,18.110001,106.550003,169.270004,272.243347
2022-07-25,152.949997,121.139999,107.510002,258.829987,218.509995,9.95,33.439999,86.709999,71.43,23.35,18.059999,106.099998,166.649994,268.433319
2022-07-26,151.600006,114.809998,105.019997,251.899994,213.910004,9.63,30.51,79.870003,66.389999,22.549999,17.25,100.330002,159.149994,258.859985
2022-07-27,156.789993,120.970001,113.059998,268.73999,226.75,9.55,32.439999,86.919998,72.760002,23.09,19.200001,105.910004,169.580002,274.820007
2022-07-28,157.350006,122.279999,114.220001,276.410004,226.020004,9.67,31.43,85.169998,74.68,23.309999,19.299999,106.220001,160.720001,280.899994
2022-07-29,162.509995,134.949997,116.32,280.73999,224.899994,9.88,31.99,65.519997,76.059998,23.450001,19.48,103.860001,159.100006,297.149994
2022-08-01,161.509995,135.389999,114.860001,278.01001,226.210007,9.54,32.029999,71.690002,77.809998,24.6,19.99,105.389999,159.929993,297.276672
2022-08-02,160.009995,134.160004,115.129997,274.820007,221.419998,9.87,33.279999,75.709999,79.089996,29.25,22.309999,108.160004,160.190002,300.58667
2022-08-03,166.130005,139.520004,118.080002,282.470001,226.729996,10.32,34.049999,79,88.07,30.190001,22.440001,112.970001,168.800003,307.396667
2022-08-04,165.809998,142.570007,118.190002,283.649994,229.910004,10.25,31.389999,81.279999,89.699997,31.85,22.530001,112.860001,170.570007,308.633331
2022-08-05,165.350006,140.800003,117.470001,282.910004,226.779999,10.18,38.259998,82.260002,87.730003,32.009998,22.549999,113.849998,167.110001,288.170013
2022-08-08,164.869995,139.410004,117.300003,280.320007,233.490005,10.41,39.310001,83.599998,85.5,31.85,22.9,114.739998,170.25,290.42334
2022-08-09,164.919998,137.830002,116.629997,282.299988,229.940002,10.16,37.049999,78.099998,81.129997,31.059999,22.540001,105.290001,168.529999,283.333344
2022-08-10,169.240005,142.690002,119.699997,289.160004,244.110001,10.57,36.939999,81.080002,88.839996,32.799999,22.9,112.010002,178.339996,294.356659
2022-08-11,168.490005,140.639999,118.839996,287.019989,242.699997,11.11,36.66,80.650002,85.989998,32.240002,22.860001,108.059998,177.490005,286.630005
2022-08-12,172.100006,143.550003,121.68,291.910004,249.300003,11.62,36.689999,83.809998,87.949997,32.470001,23.43,109.519997,180.5,300.029999
